runid,start_time,spatial_index,intersect_time,join_time,cluster_time,stop_time,total_time,user_id
0,4/4/2020 12:02,r_tree_local,2.657915354,11.69073534,2.296853542,4/4/2020 12:02,16.6465013,138
1,4/4/2020 12:02,r_tree_local,2.322263241,14.98793006,2.404567003,4/4/2020 12:03,19.7147603,160
2,4/4/2020 12:03,r_tree_local,2.265965462,10.72428083,2.414570093,4/4/2020 12:03,15.40544295,89
3,4/4/2020 12:03,r_tree_local,2.256962776,8.934115648,3.222376108,4/4/2020 12:03,14.41540742,15
4,4/4/2020 12:03,r_tree_local,2.268956423,9.288150072,2.185153723,4/4/2020 12:03,13.74323106,47
5,4/4/2020 12:03,r_tree_local,2.277985334,8.359727383,3.19243288,4/4/2020 12:03,13.8301456,44
6,4/4/2020 12:03,r_tree_local,2.255964994,7.764395475,2.419554472,4/4/2020 12:04,12.44088459,89
7,4/4/2020 12:04,r_tree_local,2.254966974,12.45470786,3.520566702,4/4/2020 12:04,18.23222399,43
8,4/4/2020 12:04,r_tree_local,2.269929171,26.4899056,2.117998362,4/4/2020 12:04,30.87980247,117
9,4/4/2020 12:04,r_tree_local,2.255992174,20.97062731,3.186502695,4/4/2020 12:05,26.41508985,11
10,4/4/2020 12:05,r_tree_local,2.474408627,26.4293828,2.199116468,4/4/2020 12:05,31.10390353,164
11,4/4/2020 12:05,r_tree_local,2.255963802,30.00278211,2.203105688,4/4/2020 12:06,34.4628489,121
12,4/4/2020 12:06,r_tree_local,2.256961584,23.41648459,2.658925772,4/4/2020 12:07,28.33430123,169
13,4/4/2020 12:07,r_tree_local,2.280923367,23.01642895,4.435137272,4/4/2020 12:07,29.73377109,37
14,4/4/2020 12:07,r_tree_local,2.251999855,15.84887362,2.309888124,4/4/2020 12:07,20.41076159,46
15,4/4/2020 12:07,r_tree_local,2.251004457,5.112783194,2.156233311,4/4/2020 12:08,9.520994425,118
16,4/4/2020 12:08,r_tree_local,2.248012304,9.96489501,2.219058752,4/4/2020 12:08,14.43494916,63
17,4/4/2020 12:08,r_tree_local,2.253970146,8.569149733,2.154209614,4/4/2020 12:08,12.97832656,162
18,4/4/2020 12:08,r_tree_local,2.251008034,20.19599676,2.15977788,4/4/2020 12:08,24.60774994,94
19,4/4/2020 12:08,r_tree_local,2.255963802,12.65672708,2.141271591,4/4/2020 12:09,17.05396247,136
20,4/4/2020 12:09,r_tree_local,2.241030931,10.7113688,2.141244411,4/4/2020 12:09,15.0946157,109
21,4/4/2020 12:09,r_tree_local,2.247014761,20.34556723,2.136679888,4/4/2020 12:09,24.73125792,107
22,4/4/2020 12:09,r_tree_local,2.250011206,18.80468678,2.13829875,4/4/2020 12:10,23.19497037,97
23,4/4/2020 12:10,r_tree_local,2.244024515,14.46926117,4.318454266,4/4/2020 12:10,21.03173995,71
24,4/4/2020 12:10,r_tree_local,2.254966736,12.13171458,2.234995842,4/4/2020 12:10,16.62267518,127
25,4/4/2020 12:10,r_tree_local,2.258956432,55.14648557,6.484623671,4/4/2020 12:11,63.89106345,82
26,4/4/2020 12:11,r_tree_local,2.246017456,17.84628057,2.139249563,4/4/2020 12:12,22.23251748,150
27,4/4/2020 12:12,r_tree_local,2.259983063,16.36417317,7.536844015,4/4/2020 12:12,26.16197109,24
28,4/4/2020 12:12,r_tree_local,2.235019922,10.49267578,3.295185566,4/4/2020 12:12,16.02504277,78
29,4/4/2020 12:12,r_tree_local,2.249010324,12.40194464,2.19712162,4/4/2020 12:13,16.85004377,45
30,4/4/2020 12:13,r_tree_local,2.238012314,15.49556875,5.380568504,4/4/2020 12:13,23.11515665,1
31,4/4/2020 12:13,r_tree_local,2.243996143,24.46956134,2.123114347,4/4/2020 12:14,28.83859539,105
32,4/4/2020 12:14,r_tree_local,2.241031885,22.84986949,2.691770554,4/4/2020 12:14,27.78267193,131
33,4/4/2020 12:14,r_tree_local,2.240026474,17.24985123,2.500025034,4/4/2020 12:14,21.99056935,172
34,4/4/2020 12:14,r_tree_local,2.247016907,24.44776607,2.138312817,4/4/2020 12:15,28.83506346,161
35,4/4/2020 12:15,r_tree_local,2.253970861,11.80954599,3.555481672,4/4/2020 12:15,17.61997151,16
36,4/4/2020 12:15,r_tree_local,2.243026733,12.52253461,2.170203447,4/4/2020 12:16,16.93576479,152
37,4/4/2020 12:16,r_tree_local,2.244991064,22.73631287,5.025247812,4/4/2020 12:16,30.00655174,179
38,4/4/2020 12:16,r_tree_local,2.247019291,16.88770843,11.50718617,4/4/2020 12:17,30.64191389,14
39,4/4/2020 12:17,r_tree_local,2.254994392,24.82491851,2.311840534,4/4/2020 12:17,29.39272547,88
40,4/4/2020 12:17,r_tree_local,2.250006914,13.29852581,2.151216745,4/4/2020 12:17,17.70171762,98
41,4/4/2020 12:17,r_tree_local,2.259983063,12.85470343,7.521903038,4/4/2020 12:18,22.63758063,24
42,4/4/2020 12:18,r_tree_local,2.251974583,23.62319469,5.093331575,4/4/2020 12:18,30.97070503,168
43,4/4/2020 12:18,r_tree_local,2.244995117,24.71718788,2.191137791,4/4/2020 12:19,29.15429163,77
44,4/4/2020 12:19,r_tree_local,2.255964041,19.46691775,2.455242634,4/4/2020 12:19,24.17909479,113
45,4/4/2020 12:19,r_tree_local,2.236017466,8.044265509,2.127390146,4/4/2020 12:19,12.40864372,138
46,4/4/2020 12:19,r_tree_local,2.246018887,15.11364102,2.131331921,4/4/2020 12:20,19.49303508,136
47,4/4/2020 12:20,r_tree_local,2.237042427,20.86791158,2.133283377,4/4/2020 12:20,25.24017715,171
48,4/4/2020 12:20,r_tree_local,2.243995428,7.80151844,2.446482182,4/4/2020 12:20,12.49296665,113
49,4/4/2020 12:20,r_tree_local,2.242111206,11.2359395,2.175118208,4/4/2020 12:21,15.6551981,56
50,4/4/2020 12:21,r_tree_local,2.240035057,22.27022386,2.182161331,4/4/2020 12:21,26.69438958,98
51,4/4/2020 12:21,r_tree_local,2.265965939,23.47026873,140.6696486,4/4/2020 12:24,166.4068551,22
52,4/4/2020 12:24,r_tree_local,2.264966726,16.32434988,17.07837272,4/4/2020 12:24,35.67061138,13
53,4/4/2020 12:24,r_tree_local,2.244022608,21.13459134,2.336720467,4/4/2020 12:25,25.71635365,58
54,4/4/2020 12:25,r_tree_local,2.246022701,9.409878969,2.139297009,4/4/2020 12:25,13.79519868,136
55,4/4/2020 12:25,r_tree_local,2.234022856,14.43506622,2.472382784,4/4/2020 12:25,19.14244246,172
56,4/4/2020 12:25,r_tree_local,2.241004705,12.6780808,2.137283325,4/4/2020 12:26,17.05721068,121
57,4/4/2020 12:26,r_tree_local,2.242029667,17.60399842,2.163251162,4/4/2020 12:26,22.01224899,178
58,4/4/2020 12:26,r_tree_local,2.236047506,9.974218607,2.211084127,4/4/2020 12:26,14.42135024,129
59,4/4/2020 12:26,r_tree_local,2.234049559,14.50246835,2.173159361,4/4/2020 12:27,18.91064811,56
60,4/4/2020 12:27,r_tree_local,2.267958164,9.880538225,9.441759348,4/4/2020 12:27,21.59123421,20
61,4/4/2020 12:27,r_tree_local,2.239037514,11.21651125,2.545187712,4/4/2020 12:27,16.00171041,180
62,4/4/2020 12:27,r_tree_local,2.237041473,8.525495291,2.192137957,4/4/2020 12:27,12.9556458,111
63,4/4/2020 12:27,r_tree_local,2.246016979,9.361952782,5.697752476,4/4/2020 12:28,17.30572224,36
64,4/4/2020 12:28,r_tree_local,2.25699091,7.451002598,2.654897213,4/4/2020 12:28,12.36386132,131
65,4/4/2020 12:28,r_tree_local,2.245989799,12.4397161,2.114335537,4/4/2020 12:28,16.80207276,139
66,4/4/2020 12:28,r_tree_local,2.239037037,24.87844014,8.195120096,4/4/2020 12:29,35.31357193,50
67,4/4/2020 12:29,r_tree_local,2.245019197,19.61639047,3.935498238,4/4/2020 12:29,25.79984593,55
68,4/4/2020 12:29,r_tree_local,2.244024038,25.23352861,2.983018637,4/4/2020 12:30,30.46253943,64
69,4/4/2020 12:30,r_tree_local,2.24103117,27.58725476,2.134356499,4/4/2020 12:30,31.96460867,138
70,4/4/2020 12:30,r_tree_local,2.246018171,27.33290315,4.17679739,4/4/2020 12:31,33.75768685,23
71,4/4/2020 12:31,r_tree_local,2.232027531,18.97592902,11.91418719,4/4/2020 12:31,33.12411165,144
72,4/4/2020 12:31,r_tree_local,2.243026972,21.95525813,2.143240452,4/4/2020 12:32,26.34152555,158
73,4/4/2020 12:32,r_tree_local,2.244024038,5.701745272,2.172161102,4/4/2020 12:32,10.11793041,114
74,4/4/2020 12:32,r_tree_local,2.248984575,8.690748215,2.156230688,4/4/2020 12:32,13.09695983,86
75,4/4/2020 12:32,r_tree_local,2.226044416,7.550826073,2.136475325,4/4/2020 12:32,11.91531515,157
76,4/4/2020 12:32,r_tree_local,2.252002001,18.37486959,5.041208982,4/4/2020 12:33,25.66904664,168
77,4/4/2020 12:33,r_tree_local,2.237042189,14.9030776,12.05075717,4/4/2020 12:33,29.19288421,144
78,4/4/2020 12:33,r_tree_local,2.25895524,9.475648403,2.221084118,4/4/2020 12:34,13.95768356,156
79,4/4/2020 12:34,r_tree_local,2.257958651,18.96338153,2.70778513,4/4/2020 12:34,23.93109107,131
80,4/4/2020 12:34,r_tree_local,2.260950804,17.56722116,2.33275938,4/4/2020 12:34,22.16192889,58
81,4/4/2020 12:34,r_tree_local,2.27591157,18.32909274,2.157226801,4/4/2020 12:35,22.76320314,54
82,4/4/2020 12:35,r_tree_local,2.249978781,11.77921677,14.89712095,4/4/2020 12:35,28.92831111,4
83,4/4/2020 12:35,r_tree_local,2.240004778,50.97674298,3.1645329,4/4/2020 12:36,56.38327694,44
84,4/4/2020 12:36,r_tree_local,2.237042189,22.51179719,11.18208694,4/4/2020 12:37,35.93189716,10
85,4/4/2020 12:37,r_tree_local,2.228065491,13.87313199,3.368016005,4/4/2020 12:37,19.47018576,122
86,4/4/2020 12:37,r_tree_local,2.230035782,13.03389168,2.163213491,4/4/2020 12:37,17.42836523,49
